                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.71147,                0.59998,                  1.146,                 0.9571,                0.94263,                0.96458,                0.81985,                 0.6977,                0.61949,                 1.2412,              0.0012929,              0.0012929,              0.0012929
                     36,                0.72417,                0.62033,                 1.1434,                0.96154,                0.95833,                0.97425,                0.85669,                0.66366,                0.70884,                 1.1716,              0.0012819,              0.0012819,              0.0012819
                     37,                0.72244,                  0.607,                 1.1385,                0.91841,                0.91667,                0.95052,                0.78849,                0.71374,                0.65123,                 1.2302,              0.0012709,              0.0012709,              0.0012709
                     38,                0.69916,                0.61809,                 1.1391,                0.94872,                0.94444,                 0.9702,                 0.8301,                 0.7146,                0.57586,                 1.2589,              0.0012599,              0.0012599,              0.0012599
                     39,                0.70164,                0.60288,                  1.126,                0.92683,                0.91667,                0.94094,                 0.8108,                0.64197,                0.63619,                 1.1893,              0.0012489,              0.0012489,              0.0012489
                     40,                0.74085,                0.59911,                 1.1794,                0.99941,                0.92998,                0.97013,                0.85232,                0.61378,                0.57985,                 1.1428,              0.0012379,              0.0012379,              0.0012379
                     41,                0.70187,                0.63572,                 1.1447,                 0.9186,                0.90278,                0.92817,                0.79547,                0.69545,                0.90298,                 1.2235,              0.0012269,              0.0012269,              0.0012269
                     42,                0.68795,                0.63065,                 1.1311,                0.93478,                0.88755,                0.93837,                0.79976,                0.68971,                0.64998,                 1.2281,              0.0012159,              0.0012159,              0.0012159
                     43,                0.70204,                0.60782,                 1.1298,                0.97923,                0.95833,                0.97781,                0.88046,                0.58298,                0.54455,                 1.1203,              0.0012049,              0.0012049,              0.0012049
                     44,                0.66966,                0.58923,                 1.1231,                   0.95,                0.94444,                0.96613,                0.86627,                0.58338,                0.65868,                 1.1113,              0.0011939,              0.0011939,              0.0011939
                     45,                0.69138,                 0.5914,                 1.1316,                0.97722,                0.97106,                0.98425,                0.86623,                0.60632,                0.56258,                 1.1446,              0.0011829,              0.0011829,              0.0011829
                     46,                0.67459,                0.56524,                 1.1327,                0.92683,                0.91667,                0.95108,                0.82385,                0.68694,                0.71421,                 1.2013,              0.0011719,              0.0011719,              0.0011719
                     47,                0.67058,                0.57035,                  1.129,                0.99293,                0.97222,                 0.9835,                0.88285,                0.56485,                0.67821,                   1.11,              0.0011609,              0.0011609,              0.0011609
                     48,                0.67746,                0.57103,                 1.1223,                0.92309,                0.90278,                0.92838,                 0.8292,                 0.6081,                0.74188,                 1.1256,              0.0011499,              0.0011499,              0.0011499
                     49,                0.69607,                0.59524,                 1.1562,                   0.97,                0.94444,                0.96846,                0.88229,                 0.5718,                0.61275,                 1.0729,              0.0011389,              0.0011389,              0.0011389
                     50,                0.68952,                0.58786,                 1.1247,                0.92857,                0.91667,                0.94054,                0.82965,                0.63501,                0.64429,                 1.1379,              0.0011279,              0.0011279,              0.0011279
                     51,                0.66684,                 0.5909,                 1.1216,                0.96154,                0.95833,                0.96973,                0.84515,                0.63821,                0.64167,                 1.1486,              0.0011169,              0.0011169,              0.0011169
                     52,                0.65121,                0.54591,                 1.1022,                0.96724,                0.95833,                0.96657,                0.85084,                0.60863,                0.55591,                 1.1344,              0.0011059,              0.0011059,              0.0011059
                     53,                0.64498,                0.53972,                 1.1022,                0.98546,                0.93307,                0.95781,                0.82948,                0.67041,                0.58899,                 1.1887,              0.0010949,              0.0010949,              0.0010949
                     54,                0.65847,                0.56765,                 1.1052,                0.96124,                0.94444,                0.96166,                0.84085,                0.63222,                0.50879,                 1.1769,              0.0010839,              0.0010839,              0.0010839
                     55,                0.63185,                0.54274,                 1.0917,                0.94986,                0.92908,                 0.9381,                0.81529,                0.58415,                0.67938,                 1.1243,              0.0010729,              0.0010729,              0.0010729
                     56,                0.66849,                0.58021,                 1.1256,                0.98196,                0.94444,                0.97003,                0.86592,                0.58167,                0.56155,                 1.1357,              0.0010619,              0.0010619,              0.0010619
                     57,                0.62138,                0.53458,                  1.091,                0.93205,                0.91506,                 0.9421,                0.82931,                0.63224,                0.67923,                 1.1623,              0.0010509,              0.0010509,              0.0010509
                     58,                0.64576,                 0.5343,                 1.1015,                0.94825,                0.87558,                0.92307,                0.81537,                0.60112,                0.64412,                 1.1601,              0.0010399,              0.0010399,              0.0010399
                     59,                0.63877,                0.54406,                 1.0986,                0.92683,                0.91667,                0.93767,                0.81344,                0.60947,                0.67676,                 1.1751,              0.0010289,              0.0010289,              0.0010289
                     60,                0.64306,                0.52698,                  1.096,                0.95979,                0.94444,                0.97064,                0.84696,                0.60689,                0.50264,                  1.176,              0.0010179,              0.0010179,              0.0010179
                     61,                0.61284,                0.54126,                 1.0845,                0.98047,                0.91667,                0.95487,                0.85979,                0.55712,                0.53364,                 1.1179,              0.0010069,              0.0010069,              0.0010069
                     62,                0.65843,                0.56212,                 1.1347,                0.95869,                0.95833,                0.97666,                0.86881,                0.58516,                0.51386,                 1.0952,             0.00099587,             0.00099587,             0.00099587
                     63,                0.65004,                0.56083,                 1.1019,                0.94872,                0.94444,                  0.954,                 0.8574,                0.56695,                0.61713,                 1.1131,             0.00098486,             0.00098486,             0.00098486
                     64,                0.64197,                0.53839,                 1.0829,                0.95582,                0.91389,                0.93451,                0.84603,                0.56981,                0.56094,                 1.1138,             0.00097386,             0.00097386,             0.00097386
                     65,                0.62605,                0.52483,                 1.0849,                0.95689,                0.94444,                0.96325,                0.85235,                0.59595,                0.55796,                 1.1552,             0.00096286,             0.00096286,             0.00096286
