                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.81335,                0.80252,                 1.2051,                0.95873,                0.84722,                0.91399,                0.78775,                0.67062,                0.81046,                 1.2135,              0.0011224,              0.0011224,              0.0011224
                     35,                0.83979,                0.77635,                 1.2138,                0.90892,                0.83645,                0.90495,                0.74139,                0.78269,                0.90798,                 1.2766,              0.0011059,              0.0011059,              0.0011059
                     36,                0.83471,                0.80209,                 1.2119,                0.96349,                0.91667,                0.95378,                0.76351,                0.89472,                0.85721,                 1.4082,              0.0010894,              0.0010894,              0.0010894
                     37,                 0.8309,                0.79173,                 1.2094,                0.87668,                0.83333,                0.89394,                0.73996,                0.79118,                 1.0351,                 1.3574,              0.0010729,              0.0010729,              0.0010729
                     38,                0.83397,                0.77795,                 1.2214,                0.97437,                0.90278,                0.95159,                0.78323,                0.89442,                0.79064,                 1.3849,              0.0010564,              0.0010564,              0.0010564
                     39,                0.80954,                0.78383,                 1.1868,                0.93124,                0.93056,                0.95147,                0.79947,                0.80577,                0.69257,                 1.3012,              0.0010399,              0.0010399,              0.0010399
                     40,                0.82794,                 0.7652,                 1.2301,                0.92857,                0.91667,                0.91661,                0.73011,                0.86963,                 0.8916,                 1.3661,              0.0010234,              0.0010234,              0.0010234
                     41,                0.84598,                0.81804,                  1.227,                 0.9186,                0.90278,                0.92973,                0.77162,                0.79249,                0.96988,                 1.3292,              0.0010069,              0.0010069,              0.0010069
                     42,                0.80323,                0.78255,                 1.1912,                0.92854,                0.88594,                0.93397,                0.77564,                0.69145,                0.77538,                 1.2175,             0.00099036,             0.00099036,             0.00099036
                     43,                0.79969,                0.76385,                 1.1923,                0.98485,                0.94778,                 0.9766,                0.80315,                0.68314,                0.61864,                 1.2184,             0.00097386,             0.00097386,             0.00097386
                     44,                0.76781,                0.74185,                 1.1771,                0.95869,                0.95833,                0.96855,                0.78765,                0.81067,                0.75302,                 1.3342,             0.00095736,             0.00095736,             0.00095736
                     45,                0.79875,                0.71705,                 1.1981,                0.93771,                0.88889,                0.92304,                0.75349,                0.76438,                 0.8191,                 1.2787,             0.00094085,             0.00094085,             0.00094085
                     46,                0.77639,                0.72694,                 1.1828,                0.94419,                0.91522,                0.95142,                0.81376,                 0.6926,                0.74378,                 1.2023,             0.00092435,             0.00092435,             0.00092435
                     47,                0.75744,                0.72426,                 1.1797,                0.93357,                0.93056,                0.94482,                0.78769,                0.70007,                 0.6861,                 1.2314,             0.00090785,             0.00090785,             0.00090785
                     48,                0.75839,                0.68346,                 1.1744,                0.98513,                 0.9432,                0.97052,                0.82122,                0.68291,                0.66049,                 1.2007,             0.00089134,             0.00089134,             0.00089134
                     49,                 0.7867,                0.71501,                 1.2022,                0.96154,                0.95833,                0.97459,                0.83293,                0.71466,                0.69856,                 1.2297,             0.00087484,             0.00087484,             0.00087484
                     50,                0.78176,                0.72331,                 1.1787,                0.91414,                0.76679,                0.88211,                0.77241,                 0.7403,                 1.0565,                 1.3294,             0.00085834,             0.00085834,             0.00085834
                     51,                0.73795,                0.70973,                 1.1606,                0.97368,                0.97222,                0.97407,                0.82711,                0.63456,                0.68076,                  1.187,             0.00084184,             0.00084184,             0.00084184
                     52,                0.75259,                0.67075,                 1.1641,                0.93902,                0.93056,                0.94982,                0.82172,                0.59757,                0.60179,                 1.1471,             0.00082533,             0.00082533,             0.00082533
                     53,                0.74681,                0.66458,                 1.1591,                0.98649,                0.98611,                0.99013,                0.86929,                0.59167,                0.50239,                 1.1411,             0.00080883,             0.00080883,             0.00080883
                     54,                0.75467,                0.69341,                  1.165,                   0.95,                0.94444,                0.96526,                0.80779,                0.66784,                0.69026,                   1.19,             0.00079233,             0.00079233,             0.00079233
                     55,                0.72203,                0.64531,                 1.1407,                0.95869,                0.95833,                0.97573,                0.82605,                0.66775,                 0.6167,                 1.2481,             0.00077582,             0.00077582,             0.00077582
                     56,                0.73258,                  0.664,                 1.1561,                0.97368,                0.97222,                0.97747,                 0.8035,                0.71855,                0.64532,                 1.2472,             0.00075932,             0.00075932,             0.00075932
                     57,                0.72038,                0.67778,                 1.1468,                0.93902,                0.93056,                0.95304,                 0.8213,                0.63994,                0.71635,                  1.157,             0.00074282,             0.00074282,             0.00074282
                     58,                0.71983,                  0.635,                  1.153,                0.96053,                0.95833,                0.96949,                0.84614,                0.63661,                0.62657,                 1.1809,             0.00072631,             0.00072631,             0.00072631
                     59,                0.69235,                0.63169,                 1.1201,                0.98623,                0.97222,                0.97526,                0.82592,                0.61901,                0.62411,                 1.1728,             0.00070981,             0.00070981,             0.00070981
                     60,                0.71345,                0.66737,                  1.139,                0.93902,                0.93056,                0.94257,                0.80775,                0.65499,                0.76635,                 1.1957,             0.00069331,             0.00069331,             0.00069331
                     61,                0.71276,                 0.6594,                 1.1466,                0.94344,                0.93056,                0.94792,                0.82456,                0.70026,                0.68193,                 1.2121,              0.0006768,              0.0006768,              0.0006768
                     62,                0.71876,                0.67226,                 1.1634,                0.94582,                0.94444,                0.96597,                0.82444,                0.68908,                0.55742,                  1.239,              0.0006603,              0.0006603,              0.0006603
                     63,                0.68492,                0.65256,                 1.1254,                0.96154,                0.95833,                   0.97,                0.87074,                0.56167,                0.58273,                 1.1194,              0.0006438,              0.0006438,              0.0006438
                     64,                0.66949,                0.61196,                 1.1022,                0.97368,                0.97222,                0.97976,                0.86729,                0.62323,                0.51832,                 1.1677,             0.00062729,             0.00062729,             0.00062729
                     65,                0.67433,                0.60062,                 1.1184,                0.97387,                0.97222,                0.98467,                0.88745,                0.60208,                0.51274,                 1.1577,             0.00061079,             0.00061079,             0.00061079
